,date,sales
94,2023-04-05,4670
95,2023-04-06,8244
96,2023-04-07,6246
97,2023-04-08,7384
98,2023-04-09,1626
99,2023-04-10,1766
100,2023-04-11,7634
101,2023-04-12,2258
102,2023-04-13,5665
103,2023-04-14,1884
104,2023-04-15,6249
105,2023-04-16,9716
106,2023-04-17,3186
107,2023-04-18,6032
108,2023-04-19,5402
109,2023-04-20,9221
110,2023-04-21,7039
111,2023-04-22,4560
112,2023-04-23,4102
113,2023-04-24,5449
114,2023-04-25,7880
115,2023-04-26,6168
116,2023-04-27,5486
117,2023-04-28,6025
118,2023-04-29,3372
119,2023-04-30,8029
120,2023-05-01,7642
121,2023-05-02,4414
122,2023-05-03,6746
123,2023-05-04,9750
124,2023-05-05,9471
125,2023-05-06,8515
126,2023-05-07,2720
127,2023-05-08,7930
128,2023-05-09,6974
129,2023-05-10,5708
130,2023-05-11,7041
131,2023-05-12,9800
132,2023-05-13,1251
133,2023-05-14,4781
134,2023-05-15,7715
135,2023-05-16,2189
136,2023-05-17,8216
137,2023-05-18,6353
138,2023-05-19,9152
139,2023-05-20,4368
140,2023-05-21,8260
141,2023-05-22,5587
142,2023-05-23,3309
143,2023-05-24,7876
144,2023-05-25,4106
145,2023-05-26,7103
146,2023-05-27,4322
147,2023-05-28,8797
148,2023-05-29,7596
149,2023-05-30,9584
150,2023-05-31,3142
151,2023-06-01,1200
152,2023-06-02,4816
153,2023-06-03,4999
154,2023-06-04,9434
155,2023-06-05,6037
156,2023-06-06,1425
157,2023-06-07,8316
158,2023-06-08,1061
159,2023-06-09,8589
160,2023-06-10,4434
161,2023-06-11,9524
162,2023-06-12,3480
163,2023-06-13,1917
164,2023-06-14,3703
165,2023-06-15,4447
166,2023-06-16,1652
167,2023-06-17,7737
168,2023-06-18,5936
169,2023-06-19,5169
170,2023-06-20,4210
171,2023-06-21,8922
172,2023-06-22,8019
173,2023-06-23,2968
174,2023-06-24,3418
175,2023-06-25,7241
176,2023-06-26,2687
177,2023-06-27,6059
178,2023-06-28,1487
179,2023-06-29,8838
180,2023-06-30,2895
181,2023-07-01,9535
182,2023-07-02,6605
183,2023-07-03,6203
184,2023-07-04,5624
185,2023-07-05,6179
186,2023-07-06,6756
187,2023-07-07,5490
188,2023-07-08,5695
189,2023-07-09,7042
190,2023-07-10,7546
191,2023-07-11,3226
192,2023-07-12,6343
193,2023-07-13,5939
194,2023-07-14,3720
195,2023-07-15,3486
196,2023-07-16,5760
197,2023-07-17,1802
198,2023-07-18,7830
199,2023-07-19,2411
200,2023-07-20,3303
201,2023-07-21,5920
202,2023-07-22,1907
203,2023-07-23,2242
204,2023-07-24,6052
205,2023-07-25,3170
206,2023-07-26,8932
207,2023-07-27,7476
208,2023-07-28,9253
209,2023-07-29,9836
210,2023-07-30,9480
211,2023-07-31,7668
212,2023-08-01,4461
213,2023-08-02,5536
214,2023-08-03,6231
215,2023-08-04,9465
216,2023-08-05,6049
217,2023-08-06,6354
218,2023-08-07,3000
219,2023-08-08,4174
220,2023-08-09,5941
221,2023-08-10,1535
222,2023-08-11,9810
223,2023-08-12,9324
224,2023-08-13,6270
225,2023-08-14,1665
226,2023-08-15,6983
227,2023-08-16,7878
228,2023-08-17,4587
229,2023-08-18,3637
230,2023-08-19,4695
231,2023-08-20,9339
232,2023-08-21,5782
233,2023-08-22,8830
234,2023-08-23,5932
235,2023-08-24,5369
236,2023-08-25,6875
237,2023-08-26,9315
238,2023-08-27,4281
239,2023-08-28,9556
240,2023-08-29,9505
241,2023-08-30,1301
242,2023-08-31,6163
243,2023-09-01,9145
244,2023-09-02,1445
245,2023-09-03,6691
246,2023-09-04,7252
247,2023-09-05,4339
248,2023-09-06,9098
249,2023-09-07,5336
250,2023-09-08,9437
251,2023-09-09,7334
252,2023-09-10,7806
253,2023-09-11,2487
254,2023-09-12,6139
255,2023-09-13,4139
256,2023-09-14,4388
257,2023-09-15,4591
258,2023-09-16,4177
259,2023-09-17,6854
260,2023-09-18,9659
261,2023-09-19,6101
262,2023-09-20,2256
263,2023-09-21,1572
264,2023-09-22,5531
265,2023-09-23,1225
266,2023-09-24,1779
267,2023-09-25,3093
268,2023-09-26,5341
269,2023-09-27,5274
270,2023-09-28,1678
271,2023-09-29,5697
272,2023-09-30,5414
273,2023-10-01,8167
274,2023-10-02,1888
275,2023-10-03,7045
276,2023-10-04,7251
277,2023-10-05,6393
278,2023-10-06,3308
279,2023-10-07,8586
280,2023-10-08,4885
281,2023-10-09,7731
282,2023-10-10,3316
283,2023-10-11,4288
284,2023-10-12,4741
285,2023-10-13,3710
286,2023-10-14,3432
287,2023-10-15,5432
288,2023-10-16,1059
289,2023-10-17,6549
290,2023-10-18,6652
291,2023-10-19,1859
292,2023-10-20,9785
293,2023-10-21,6637
294,2023-10-22,8547
295,2023-10-23,7779
296,2023-10-24,2201
297,2023-10-25,8011
298,2023-10-26,8266
299,2023-10-27,7924
300,2023-10-28,5566
301,2023-10-29,3904
302,2023-10-30,3217
303,2023-10-31,6277
304,2023-11-01,8551
305,2023-11-02,7588
306,2023-11-03,9694
307,2023-11-04,8287
308,2023-11-05,7121
309,2023-11-06,7445
310,2023-11-07,3570
311,2023-11-08,1862
312,2023-11-09,9086
313,2023-11-10,2627
314,2023-11-11,4292
315,2023-11-12,8187
316,2023-11-13,6578
317,2023-11-14,8063
318,2023-11-15,4382
319,2023-11-16,8881
320,2023-11-17,2137
321,2023-11-18,4556
322,2023-11-19,7248
323,2023-11-20,7309
324,2023-11-21,9046
325,2023-11-22,3223
326,2023-11-23,7184
327,2023-11-24,1148
328,2023-11-25,1442
329,2023-11-26,2105
330,2023-11-27,1655
331,2023-11-28,5380
332,2023-11-29,5551
333,2023-11-30,8676
334,2023-12-01,3916
335,2023-12-02,8186
336,2023-12-03,5237
337,2023-12-04,2941
338,2023-12-05,7310
339,2023-12-06,7221
340,2023-12-07,9838
341,2023-12-08,8411
342,2023-12-09,9175
343,2023-12-10,2443
344,2023-12-11,2810
345,2023-12-12,2880
346,2023-12-13,5934
347,2023-12-14,5517
348,2023-12-15,5571
349,2023-12-16,4973
350,2023-12-17,7762
351,2023-12-18,3108
352,2023-12-19,2017
353,2023-12-20,6818
354,2023-12-21,2902
355,2023-12-22,9608
356,2023-12-23,4960
357,2023-12-24,4071
358,2023-12-25,7278
359,2023-12-26,6773
360,2023-12-27,6443
361,2023-12-28,4799
362,2023-12-29,5214
363,2023-12-30,3107
364,2023-12-31,7411
365,2024-01-01,7029
366,2024-01-02,7520
367,2024-01-03,2188
368,2024-01-04,7422
369,2024-01-05,6440
370,2024-01-06,6570
371,2024-01-07,7299
372,2024-01-08,6867
373,2024-01-09,9124
374,2024-01-10,7589
375,2024-01-11,5031
376,2024-01-12,3005
377,2024-01-13,8357
378,2024-01-14,5660
379,2024-01-15,5544
380,2024-01-16,2788
381,2024-01-17,3707
382,2024-01-18,3577
383,2024-01-19,3501
384,2024-01-20,7999
385,2024-01-21,1159
386,2024-01-22,4720
387,2024-01-23,8326
388,2024-01-24,1279
389,2024-01-25,5823
390,2024-01-26,2476
391,2024-01-27,7253
392,2024-01-28,2379
393,2024-01-29,2315
394,2024-01-30,1521
395,2024-01-31,3288
396,2024-02-01,5431
397,2024-02-02,9458
398,2024-02-03,3777
399,2024-02-04,4946
400,2024-02-05,8599
401,2024-02-06,6830
402,2024-02-07,9458
403,2024-02-08,2619
404,2024-02-09,8562
405,2024-02-10,9157
406,2024-02-11,6287
407,2024-02-12,1270
408,2024-02-13,4612
409,2024-02-14,9371
410,2024-02-15,3181
411,2024-02-16,1784
412,2024-02-17,2847
413,2024-02-18,1224
414,2024-02-19,3834
415,2024-02-20,6847
416,2024-02-21,2927
417,2024-02-22,8810
418,2024-02-23,5295
419,2024-02-24,4688
420,2024-02-25,6025
421,2024-02-26,7000
422,2024-02-27,3577
423,2024-02-28,7022
424,2024-02-29,3752
